N,method,flow,cde
10,no_comm,7.39,0.08369497830130192
10,no_comm,7.35,0.08439738399252569
10,no_comm,7.465,0.07754093296261971
10,broadcast_gain,7.495,0.0769704433497537
10,broadcast_gain,7.28,0.0945273631840796
10,broadcast_gain,7.4775,0.08810975609756097
20,no_comm,13.1525,0.1796351161702791
20,no_comm,13.175,0.18167701863354038
20,no_comm,13.35,0.17554423344140807
20,broadcast_gain,13.1975,0.17734143680847747
20,broadcast_gain,13.225,0.17729393468118196
20,broadcast_gain,12.8875,0.19048366834170855
30,no_comm,16.995,0.29216992919616824
30,no_comm,16.72,0.3072301636627305
30,no_comm,16.6,0.30565722053748823
30,broadcast_gain,16.925,0.2871433084131831
30,broadcast_gain,16.7675,0.29718117992245624
30,broadcast_gain,16.2825,0.31492584411486274
40,no_comm,18.9625,0.40303793483393674
40,no_comm,18.4875,0.4152763501225587
40,no_comm,18.67,0.40842839036755385
40,broadcast_gain,18.625,0.40980749425651586
40,broadcast_gain,18.3925,0.412520961430967
40,broadcast_gain,18.205,0.41716023691371856
60,no_comm,18.7725,0.5971134241871445
60,no_comm,19.1275,0.5906367041198501
60,no_comm,18.7425,0.5962190984003878
60,broadcast_gain,19.1325,0.5861901157132042
60,broadcast_gain,18.9275,0.592474970395091
60,broadcast_gain,18.6475,0.5959590488055901
80,no_comm,18.8625,0.6946209576233456
80,no_comm,19.0,0.6927182307039178
80,no_comm,19.02,0.6929038508113344
80,broadcast_gain,17.7075,0.7096060022139313
80,broadcast_gain,18.6325,0.6959324384970014
80,broadcast_gain,18.2075,0.7012470260070556
100,no_comm,18.4475,0.7601417240930958
100,no_comm,18.1825,0.7634719828287099
100,no_comm,18.5625,0.7599262803931712
100,broadcast_gain,18.3825,0.7579896652733437
100,broadcast_gain,18.4075,0.7595441037196695
100,broadcast_gain,18.645,0.7547517264057876
120,no_comm,18.495,0.7988690120167473
120,no_comm,18.125,0.8026190411369143
120,no_comm,18.3025,0.8003762883786879
120,broadcast_gain,17.735,0.8045191512813448
120,broadcast_gain,18.3975,0.7991320013101867
120,broadcast_gain,18.405,0.7998531930511378
